order,id,word,condition,frequency,modality,reaction_time,response
0,127,sluinen,nw,none,auditory,1.0363747000228614,z
1,2,hese,rw,LF,visual,1.238978400011547,m
2,63,begin,rw,HF,visual,1.0794249000027776,z
3,62,gaf,rw,HF,visual,0.8904474000446498,m
4,183,zuun,nw,none,auditory,0.3844300000346266,z
5,77,hen,rw,HF,auditory,0.38622769998619333,m
6,96,zit,rw,HF,visual,0.9376800000318326,z
7,186,brad,nw,none,visual,0.9589223000220954,m
8,79,uur,rw,HF,auditory,0.2112409999826923,z
9,24,wrongel,rw,LF,auditory,0.09580700000515208,m
10,67,plaats,rw,HF,auditory,,
11,95,dood,rw,HF,auditory,,
12,8,ratels,rw,LF,visual,,
13,66,wakker,rw,HF,visual,,
14,196,rokan,nw,none,auditory,,
15,27,flans,rw,LF,visual,,
16,132,fradingo,nw,none,visual,,
17,80,eigen,rw,HF,visual,,
18,169,plin,nw,none,auditory,,
19,84,auto,rw,HF,auditory,,
20,20,schoffels,rw,LF,visual,,
21,135,vlorken,nw,none,visual,,
22,30,oker,rw,LF,auditory,,
23,41,zolders,rw,LF,auditory,,
24,38,sfinxen,rw,LF,visual,,
25,142,gardien,nw,none,visual,,
26,86,idee,rw,HF,auditory,,
27,94,gedaan,rw,HF,auditory,,
28,199,spodiel,nw,none,auditory,,
29,7,rafel,rw,LF,auditory,,
30,190,ploe,nw,none,auditory,,
31,12,barse,rw,LF,auditory,,
32,121,nammer,nw,none,auditory,,
33,64,bezig,rw,HF,visual,,
34,149,leumen,nw,none,auditory,,
35,143,rakot,nw,none,auditory,,
36,37,rogge,rw,LF,auditory,,
37,150,knaarde,nw,none,visual,,
38,116,plenk,nw,none,visual,,
39,114,gesmalpt,nw,none,visual,,
40,93,dacht,rw,HF,visual,,
41,56,hard,rw,HF,visual,,
42,90,wist,rw,HF,auditory,,
43,117,groeken,nw,none,auditory,,
44,191,darboen,nw,none,visual,,
45,14,juffen,rw,LF,auditory,,
46,11,stekken,rw,LF,visual,,
47,173,klaap,nw,none,visual,,
48,36,metrum,rw,LF,visual,,
49,179,monen,nw,none,auditory,,
50,159,rastel,nw,none,visual,,
51,57,reden,rw,HF,visual,,
52,192,megen,nw,none,auditory,,
53,181,herken,nw,none,auditory,,
54,53,boek,rw,HF,auditory,,
55,198,snarpen,nw,none,auditory,,
56,40,topaas,rw,LF,auditory,,
57,82,morgen,rw,HF,visual,,
58,187,gevupt,nw,none,auditory,,
59,113,vroel,nw,none,auditory,,
60,19,etui,rw,LF,visual,,
61,73,gemaakt,rw,HF,auditory,,
62,33,woei,rw,LF,visual,,
63,112,breent,nw,none,visual,,
64,76,wachten,rw,HF,visual,,
65,69,sta,rw,HF,visual,,
66,25,ambten,rw,LF,visual,,
67,70,juist,rw,HF,auditory,,
68,44,stram,rw,LF,visual,,
69,45,grief,rw,LF,auditory,,
70,175,nergen,nw,none,visual,,
71,10,sikkels,rw,LF,visual,,
72,193,nef,nw,none,auditory,,
73,29,lanen,rw,LF,auditory,,
74,81,krijg,rw,HF,auditory,,
75,106,slont,nw,none,visual,,
76,48,balkons,rw,LF,visual,,
77,155,pals,nw,none,auditory,,
78,194,pruit,nw,none,visual,,
79,108,geslonden,nw,none,auditory,,
80,59,redden,rw,HF,auditory,,
81,128,kandola,nw,none,visual,,
82,164,snoen,nw,none,visual,,
83,32,suste,rw,LF,auditory,,
84,68,soort,rw,HF,auditory,,
85,197,zerder,nw,none,visual,,
86,158,rufel,nw,none,auditory,,
87,180,kijs,nw,none,auditory,,
88,50,gisten,rw,LF,auditory,,
89,176,kwarp,nw,none,visual,,
90,170,moksen,nw,none,visual,,
91,118,prookt,nw,none,visual,,
92,168,stiraal,nw,none,visual,,
93,43,stengels,rw,LF,auditory,,
94,136,kumus,nw,none,visual,,
95,1,buidels,rw,LF,auditory,,
96,171,glijp,nw,none,auditory,,
97,98,had,rw,HF,visual,,
98,110,women,nw,none,visual,,
99,129,grantel,nw,none,visual,,
100,23,strotten,rw,LF,visual,,
101,157,udel,nw,none,visual,,
102,103,brum,nw,none,visual,,
103,46,lijsters,rw,LF,visual,,
104,189,trorg,nw,none,auditory,,
105,125,kabrieken,nw,none,visual,,
106,122,bluit,nw,none,auditory,,
107,184,rieve,nw,none,visual,,
108,60,vallen,rw,HF,visual,,
109,72,lekker,rw,HF,visual,,
110,71,ogen,rw,HF,visual,,
111,109,giep,nw,none,visual,,
112,52,hield,rw,HF,visual,,
113,102,labber,nw,none,auditory,,
114,97,zeg,rw,HF,auditory,,
115,6,puien,rw,LF,auditory,,
116,75,vroeg,rw,HF,auditory,,
